Arabic,Urdu,Roman Urdu
أين المسجد؟,مسجد کہاں ہے؟,msjd khan he?
كم الساعة؟,کتنے بجے ہیں؟,ktne bje hyn?
نعم، أحبها كثيراً,ہاں، مجھے بہت پسند ہے,"han, mjhe bht psnd he"
اسمي أحمد,میرا نام احمد ہے,myra nam ahmd he
الساعة الثالثة,تین بجے ہیں,tyn bje hyn
كم الساعة؟,کتنے بجے ہیں؟,ktne bje hyn?
الحمد لله,الحمد للہ,alhmd llh
نعم، أحبها كثيراً,ہاں، مجھے بہت پسند ہے,"han, mjhe bht psnd he"
لا إله إلا الله,اللہ کے سوا کوئی معبود نہیں,allh ke swa kwyy mabwd nhyn
أنا بخير، شكراً,میں ٹھیک ہوں، شکریہ,"myn thyk hwn, shkryh"
متى ستذهب؟,آپ کب جائیں گے؟,aap kb jayyn ge?
هل تحب القهوة؟,کیا آپ کو کافی پسند ہے؟,kya aap kw kafy psnd he?
الحمد لله,الحمد للہ,alhmd llh
لا إله إلا الله,اللہ کے سوا کوئی معبود نہیں,allh ke swa kwyy mabwd nhyn
متى ستذهب؟,آپ کب جائیں گے؟,aap kb jayyn ge?
من فضلك,مہربانی کرکے,mhrbany krke
هل تحب القهوة؟,کیا آپ کو کافی پسند ہے؟,kya aap kw kafy psnd he?
لا إله إلا الله,اللہ کے سوا کوئی معبود نہیں,allh ke swa kwyy mabwd nhyn
متى ستذهب؟,آپ کب جائیں گے؟,aap kb jayyn ge?
سأذهب غداً,میں کل جاؤں گا,myn kl jaon ga
ما اسمك؟,آپ کا نام کیا ہے؟,aap ka nam kya he?
كيف حالك؟,آپ کیسے ہیں؟,aap kyse hyn?
الله أكبر,اللہ سب سے بڑا ہے,allh sb se bra he
اسمي أحمد,میرا نام احمد ہے,myra nam ahmd he
اسمي أحمد,میرا نام احمد ہے,myra nam ahmd he
ما اسمك؟,آپ کا نام کیا ہے؟,aap ka nam kya he?
شكراً جزيلاً,بہت شکریہ,bht shkryh
نعم، أحبها كثيراً,ہاں، مجھے بہت پسند ہے,"han, mjhe bht psnd he"
الحمد لله,الحمد للہ,alhmd llh
من فضلك,مہربانی کرکے,mhrbany krke
شكراً جزيلاً,بہت شکریہ,bht shkryh
سبحان الله,سبحان اللہ,sbhan allh
سبحان الله,سبحان اللہ,sbhan allh
أين تعيش؟,آپ کہاں رہتے ہیں؟,aap khan rhte hyn?
ما اسمك؟,آپ کا نام کیا ہے؟,aap ka nam kya he?
اسمي أحمد,میرا نام احمد ہے,myra nam ahmd he
نعم، أحبها كثيراً,ہاں، مجھے بہت پسند ہے,"han, mjhe bht psnd he"
متى ستذهب؟,آپ کب جائیں گے؟,aap kb jayyn ge?
السلام عليكم,السلام علیکم,alslam alykm
لا إله إلا الله,اللہ کے سوا کوئی معبود نہیں,allh ke swa kwyy mabwd nhyn
هل تحب القهوة؟,کیا آپ کو کافی پسند ہے؟,kya aap kw kafy psnd he?
شكراً جزيلاً,بہت شکریہ,bht shkryh
لا إله إلا الله,اللہ کے سوا کوئی معبود نہیں,allh ke swa kwyy mabwd nhyn
أنا بخير، شكراً,میں ٹھیک ہوں، شکریہ,"myn thyk hwn, shkryh"
السلام عليكم,السلام علیکم,alslam alykm
أنا بخير، شكراً,میں ٹھیک ہوں، شکریہ,"myn thyk hwn, shkryh"
متى ستذهب؟,آپ کب جائیں گے؟,aap kb jayyn ge?
من فضلك,مہربانی کرکے,mhrbany krke
سبحان الله,سبحان اللہ,sbhan allh
أستغفر الله,میں اللہ سے معافی مانگتا ہوں,myn allh se maafy mangta hwn
أستغفر الله,میں اللہ سے معافی مانگتا ہوں,myn allh se maafy mangta hwn
هل تحب القهوة؟,کیا آپ کو کافی پسند ہے؟,kya aap kw kafy psnd he?
الحمد لله,الحمد للہ,alhmd llh
سبحان الله,سبحان اللہ,sbhan allh
اسمي أحمد,میرا نام احمد ہے,myra nam ahmd he
الله أكبر,اللہ سب سے بڑا ہے,allh sb se bra he
السلام عليكم,السلام علیکم,alslam alykm
ما اسمك؟,آپ کا نام کیا ہے؟,aap ka nam kya he?
من فضلك,مہربانی کرکے,mhrbany krke
كم الساعة؟,کتنے بجے ہیں؟,ktne bje hyn?
من فضلك,مہربانی کرکے,mhrbany krke
الحمد لله,الحمد للہ,alhmd llh
أين تعيش؟,آپ کہاں رہتے ہیں؟,aap khan rhte hyn?
هل تحب القهوة؟,کیا آپ کو کافی پسند ہے؟,kya aap kw kafy psnd he?
سأذهب غداً,میں کل جاؤں گا,myn kl jaon ga
كم الساعة؟,کتنے بجے ہیں؟,ktne bje hyn?
أين المسجد؟,مسجد کہاں ہے؟,msjd khan he?
الله أكبر,اللہ سب سے بڑا ہے,allh sb se bra he
من فضلك,مہربانی کرکے,mhrbany krke
شكراً جزيلاً,بہت شکریہ,bht shkryh
شكراً جزيلاً,بہت شکریہ,bht shkryh
كيف حالك؟,آپ کیسے ہیں؟,aap kyse hyn?
كيف حالك؟,آپ کیسے ہیں؟,aap kyse hyn?
السلام عليكم,السلام علیکم,alslam alykm
نعم، أحبها كثيراً,ہاں، مجھے بہت پسند ہے,"han, mjhe bht psnd he"
الله أكبر,اللہ سب سے بڑا ہے,allh sb se bra he
نعم، أحبها كثيراً,ہاں، مجھے بہت پسند ہے,"han, mjhe bht psnd he"
سبحان الله,سبحان اللہ,sbhan allh
الحمد لله,الحمد للہ,alhmd llh
متى ستذهب؟,آپ کب جائیں گے؟,aap kb jayyn ge?
أين المسجد؟,مسجد کہاں ہے؟,msjd khan he?
شكراً جزيلاً,بہت شکریہ,bht shkryh
ما اسمك؟,آپ کا نام کیا ہے؟,aap ka nam kya he?
سبحان الله,سبحان اللہ,sbhan allh
أين المسجد؟,مسجد کہاں ہے؟,msjd khan he?
شكراً جزيلاً,بہت شکریہ,bht shkryh
أين تعيش؟,آپ کہاں رہتے ہیں؟,aap khan rhte hyn?
أنا بخير، شكراً,میں ٹھیک ہوں، شکریہ,"myn thyk hwn, shkryh"
ما اسمك؟,آپ کا نام کیا ہے؟,aap ka nam kya he?
اسمي أحمد,میرا نام احمد ہے,myra nam ahmd he
هل تحب القهوة؟,کیا آپ کو کافی پسند ہے؟,kya aap kw kafy psnd he?
أنا بخير، شكراً,میں ٹھیک ہوں، شکریہ,"myn thyk hwn, shkryh"
الله أكبر,اللہ سب سے بڑا ہے,allh sb se bra he
السلام عليكم,السلام علیکم,alslam alykm
السلام عليكم,السلام علیکم,alslam alykm
شكراً جزيلاً,بہت شکریہ,bht shkryh
أين تعيش؟,آپ کہاں رہتے ہیں؟,aap khan rhte hyn?
أستغفر الله,میں اللہ سے معافی مانگتا ہوں,myn allh se maafy mangta hwn
كيف حالك؟,آپ کیسے ہیں؟,aap kyse hyn?
أستغفر الله,میں اللہ سے معافی مانگتا ہوں,myn allh se maafy mangta hwn
الحمد لله,الحمد للہ,alhmd llh
متى ستذهب؟,آپ کب جائیں گے؟,aap kb jayyn ge?
من فضلك,مہربانی کرکے,mhrbany krke
سبحان الله,سبحان اللہ,sbhan allh
الحمد لله,الحمد للہ,alhmd llh
أستغفر الله,میں اللہ سے معافی مانگتا ہوں,myn allh se maafy mangta hwn
أنا بخير، شكراً,میں ٹھیک ہوں، شکریہ,"myn thyk hwn, shkryh"
سأذهب غداً,میں کل جاؤں گا,myn kl jaon ga
أستغفر الله,میں اللہ سے معافی مانگتا ہوں,myn allh se maafy mangta hwn
أين تعيش؟,آپ کہاں رہتے ہیں؟,aap khan rhte hyn?
نعم، أحبها كثيراً,ہاں، مجھے بہت پسند ہے,"han, mjhe bht psnd he"
كيف حالك؟,آپ کیسے ہیں؟,aap kyse hyn?
اسمي أحمد,میرا نام احمد ہے,myra nam ahmd he
أين تعيش؟,آپ کہاں رہتے ہیں؟,aap khan rhte hyn?
الساعة الثالثة,تین بجے ہیں,tyn bje hyn
ما اسمك؟,آپ کا نام کیا ہے؟,aap ka nam kya he?
أستغفر الله,میں اللہ سے معافی مانگتا ہوں,myn allh se maafy mangta hwn
لا إله إلا الله,اللہ کے سوا کوئی معبود نہیں,allh ke swa kwyy mabwd nhyn
اسمي أحمد,میرا نام احمد ہے,myra nam ahmd he
الله أكبر,اللہ سب سے بڑا ہے,allh sb se bra he
أستغفر الله,میں اللہ سے معافی مانگتا ہوں,myn allh se maafy mangta hwn
سأذهب غداً,میں کل جاؤں گا,myn kl jaon ga
اسمي أحمد,میرا نام احمد ہے,myra nam ahmd he
أستغفر الله,میں اللہ سے معافی مانگتا ہوں,myn allh se maafy mangta hwn
كيف حالك؟,آپ کیسے ہیں؟,aap kyse hyn?
هل تحب القهوة؟,کیا آپ کو کافی پسند ہے؟,kya aap kw kafy psnd he?
الله أكبر,اللہ سب سے بڑا ہے,allh sb se bra he
أستغفر الله,میں اللہ سے معافی مانگتا ہوں,myn allh se maafy mangta hwn
السلام عليكم,السلام علیکم,alslam alykm
سبحان الله,سبحان اللہ,sbhan allh
السلام عليكم,السلام علیکم,alslam alykm
أستغفر الله,میں اللہ سے معافی مانگتا ہوں,myn allh se maafy mangta hwn
أستغفر الله,میں اللہ سے معافی مانگتا ہوں,myn allh se maafy mangta hwn
أنا بخير، شكراً,میں ٹھیک ہوں، شکریہ,"myn thyk hwn, shkryh"
أنا بخير، شكراً,میں ٹھیک ہوں، شکریہ,"myn thyk hwn, shkryh"
نعم، أحبها كثيراً,ہاں، مجھے بہت پسند ہے,"han, mjhe bht psnd he"
كيف حالك؟,آپ کیسے ہیں؟,aap kyse hyn?
أين المسجد؟,مسجد کہاں ہے؟,msjd khan he?
هل تحب القهوة؟,کیا آپ کو کافی پسند ہے؟,kya aap kw kafy psnd he?
هل تحب القهوة؟,کیا آپ کو کافی پسند ہے؟,kya aap kw kafy psnd he?
ما اسمك؟,آپ کا نام کیا ہے؟,aap ka nam kya he?
متى ستذهب؟,آپ کب جائیں گے؟,aap kb jayyn ge?
أين المسجد؟,مسجد کہاں ہے؟,msjd khan he?
لا إله إلا الله,اللہ کے سوا کوئی معبود نہیں,allh ke swa kwyy mabwd nhyn
سأذهب غداً,میں کل جاؤں گا,myn kl jaon ga
السلام عليكم,السلام علیکم,alslam alykm
